created_at,text
Mon Mar 09 23:00:54 +0000 2020,HAHAHAHAHAHA wait i miss this a lil
Sun Mar 08 22:55:04 +0000 2020,AND   should u need an umbrella
Sun Mar 08 22:53:20 +0000 2020,not a one
Sun Mar 08 22:52:01 +0000 2020,me in the middle of the show
Sun Mar 08 22:36:51 +0000 2020,love u
Sat Mar 07 05:02:59 +0000 2020,u too my babies
Sat Mar 07 05:02:43 +0000 2020,u know i love   cutest
Sat Mar 07 05:02:18 +0000 2020,i m not dropping for quite a while baby   way too soon to spill  love u lots
Sat Mar 07 05:00:48 +0000 2020,cutie
Sat Mar 07 05:00:35 +0000 2020,yes
Sat Mar 07 05:00:05 +0000 2020,never
Fri Mar 06 19:44:08 +0000 2020,omg
Fri Mar 06 19:32:22 +0000 2020,u better fucking sing    iloveme
